#x y z Bx By Bz
-1.75 0.0631579 21.9846 -0.00178183 9.63248e-05 0.00282112
-1.75 0.0631579 22.2615 -0.00186603 0.000108098 0.00225143
-1.75 0.0631579 22.5385 -0.00192415 0.000117614 0.00178803
-1.75 0.0631579 22.8154 -0.00183312 0.00011729 0.00133271
-1.75 0.0631579 23.0923 -0.00165232 0.000111001 0.000722468
-1.75 0.0631579 23.3692 -0.00153154 0.000108459 -5.71616e-05
-1.75 0.0631579 23.6462 -0.0015199 0.000113549 -0.000954819
-1.75 0.0631579 23.9231 -0.00161046 0.000126747 -0.00196297
-1.75 0.0631579 24.2 -0.00180394 0.000149033 -0.00311262
-1.75 0.0631579 24.4769 -0.00212523 0.000183166 -0.00444755
-1.75 0.0631579 24.7538 -0.00261405 0.000233148 -0.00600452
-1.75 0.0631579 25.0308 -0.00328606 0.000301164 -0.00780906
-1.75 0.0631579 25.3077 -0.00406199 0.000381431 -0.00993287
-1.75 0.0631579 25.5846 -0.00473145 0.000456647 -0.0126913
-1.75 0.0631579 25.8615 -0.00514971 0.000515753 -0.0169996
-1.75 0.0631579 26.1385 -0.00592434 0.000619871 -0.0246655
-1.75 0.0631579 26.4154 -0.00956019 0.00101828 -0.0381185
-1.75 0.0631579 26.6923 -0.0215284 0.00226516 -0.0593797
-1.75 0.0631579 26.9692 -0.0515382 0.00536173 -0.088982
-1.75 0.0631579 27.2462 -0.119597 0.0123844 -0.123202
-1.75 0.0631579 27.5231 -0.2783 0.028783 -0.113104
-1.75 0.0631579 27.8 -0.216982 0.0223538 0.11563
-1.75 0.0947368 17 -0.0241669 0.00131076 0.00629676
-1.75 0.0947368 17.2769 -0.0241624 0.00131063 0.0100621
-1.75 0.0947368 17.5538 -0.0218098 0.00118357 0.013323
-1.75 0.0947368 17.8308 -0.018121 0.00098442 0.0150351
-1.75 0.0947368 18.1077 -0.0143822 0.000782779 0.0152167
-1.75 0.0947368 18.3846 -0.0112684 0.000615131 0.0144673
-1.75 0.0947368 18.6615 -0.00888225 0.000486966 0.0133252
-1.75 0.0947368 18.9385 -0.00709789 0.000391447 0.0120919
-1.75 0.0947368 19.2154 -0.00576097 0.000320223 0.0108991
-1.75 0.0947368 19.4923 -0.00474801 0.00026664 0.00979282
-1.75 0.0947368 19.7692 -0.00397056 0.000225957 0.00878187
-1.75 0.0947368 20.0462 -0.00336692 0.000194899 0.00785996
-1.75 0.0947368 20.3231 -0.00289405 0.000171226 0.00701521
-1.75 0.0947368 20.6 -0.00252205 0.000153453 0.00623379
-1.75 0.0947368 20.8769 -0.00223087 0.000140699 0.00550129
-1.75 0.0947368 21.1538 -0.00200891 0.000132666 0.0048032
-1.75 0.0947368 21.4308 -0.00185349 0.000129738 0.00412609
-1.75 0.0947368 21.7077 -0.00177238 0.000133106 0.00346216
-1.75 0.0947368 21.9846 -0.00177949 0.000144246 0.00282256
-1.75 0.0947368 22.2615 -0.00186173 0.000161714 0.00225316
-1.75 0.0947368 22.5385 -0.00191827 0.000175837 0.00178877
-1.75 0.0947368 22.8154 -0.00182798 0.000175415 0.001332
-1.75 0.0947368 23.0923 -0.00164934 0.000166181 0.000721687
-1.75 0.0947368 23.3692 -0.00153006 0.000162509 -5.69597e-05
-1.75 0.0947368 23.6462 -0.00151895 0.000170193 -0.000953414
-1.75 0.0947368 23.9231 -0.00160919 0.000189949 -0.00196031
-1.75 0.0947368 24.2 -0.00180109 0.000223199 -0.00310875
-1.75 0.0947368 24.4769 -0.00211845 0.000273952 -0.00444362
-1.75 0.0947368 24.7538 -0.00260014 0.000348137 -0.00600538
-1.75 0.0947368 25.0308 -0.00326518 0.000449501 -0.00782762
-1.75 0.0947368 25.3077 -0.00405031 0.000571548 -0.00999213
-1.75 0.0947368 25.5846 -0.00478275 0.000693529 -0.0128124
-1.75 0.0947368 25.8615 -0.00536844 0.000806084 -0.0171602
-1.75 0.0947368 26.1385 -0.00642574 0.00100275 -0.0247325
-1.75 0.0947368 26.4154 -0.0103422 0.00164071 -0.0378178
-1.75 0.0947368 26.6923 -0.0223205 0.00351143 -0.0583855
-1.75 0.0947368 26.9692 -0.0517618 0.00806926 -0.0870602
-1.75 0.0947368 27.2462 -0.118282 0.0183668 -0.120119
-1.75 0.0947368 27.5231 -0.272024 0.0421966 -0.108319
-1.75 0.0947368 27.8 -0.213691 0.033023 0.112997
-1.75 0.126316 17 -0.024087 0.00174191 0.00630539
-1.75 0.126316 17.2769 -0.0240808 0.00174162 0.010053
-1.75 0.126316 17.5538 -0.021742 0.00157321 0.0132997
-1.75 0.126316 17.8308 -0.0180737 0.00130915 0.0150073
-1.75 0.126316 18.1077 -0.0143523 0.00104156 0.0151918
-1.75 0.126316 18.3846 -0.01125 0.000818849 0.0144477
-1.75 0.126316 18.6615 -0.00887064 0.000648453 0.0133105
-1.75 0.126316 18.9385 -0.0070903 0.000521382 0.012081
-1.75 0.126316 19.2154 -0.00575582 0.000426592 0.0108909
-1.75 0.126316 19.4923 -0.00474442 0.000355259 0.00978664
-1.75 0.126316 19.7692 -0.003968 0.000301088 0.00877716
-1.75 0.126316 20.0462 -0.00336504 0.000259725 0.00785637
-1.75 0.126316 20.3231 -0.00289264 0.000228193 0.00701248
-1.75 0.126316 20.6 -0.00252097 0.000204515 0.00623178
-1.75 0.126316 20.8769 -0.00222998 0.000187517 0.00549991
-1.75 0.126316 21.1538 -0.00200806 0.000176797 0.00480245
-1.75 0.126316 21.4308 -0.00185247 0.000172854 0.00412608
-1.75 0.126316 21.7077 -0.00177071 0.000177245 0.00346309
-1.75 0.126316 21.9846 -0.00177625 0.000191882 0.00282456
-1.75 0.126316 22.2615 -0.0018558 0.000214822 0.00225556
