#x y z Bx By Bz
-1.75 0 16 -0.0307682 0 0.00516262
-1.75 0 16.2667 -0.0310356 0 0.0107564
-1.75 0 16.5333 -0.0282428 0 0.0151291
-1.75 0 16.8 -0.0240233 0 0.0175137
-1.75 0 17.0667 -0.0196907 0 0.0181934
-1.75 0 17.3333 -0.0158811 0 0.0177717
-1.75 0 17.6 -0.0127655 0 0.0167597
-1.75 0 17.8667 -0.0103025 0 0.0154896
-1.75 0 18.1333 -0.00838302 0 0.0141504
-1.75 0 18.4 -0.00689275 0 0.0128396
-1.75 0 18.6667 -0.00573375 0 0.0116011
-1.75 0 18.9333 -0.00482857 0 0.0104495
-1.75 0 19.2 -0.00411857 0 0.00938354
-1.75 0 19.4667 -0.00356092 0 0.0083939
-1.75 0 19.7333 -0.00312621 0 0.00746725
-1.75 0 20 -0.00279742 0 0.00658915
-1.75 0 20.2667 -0.00257014 0 0.00574856
-1.75 0 20.5333 -0.00244981 0 0.0049483
-1.75 0 20.8 -0.00242938 0 0.00422119
-1.75 0 21.0667 -0.00243417 0 0.00361039
-1.75 0 21.3333 -0.00233418 0 0.00306595
-1.75 0 21.6 -0.00211783 0 0.00243031
-1.75 0 21.8667 -0.00192115 0 0.00163591
-1.75 0 22.1333 -0.00182458 0 0.00072599
-1.75 0 22.4 -0.00182766 0 -0.000272668
-1.75 0 22.6667 -0.00191279 0 -0.00137622
-1.75 0 22.9333 -0.00206859 0 -0.00262913
-1.75 0 23.2 -0.00228788 0 -0.00410128
-1.75 0 23.4667 -0.00256204 0 -0.00590385
-1.75 0 23.7333 -0.0028863 0 -0.00822645
-1.75 0 24 -0.00329705 0 -0.0113963
-1.75 0 24.2667 -0.00397211 0 -0.0159466
-1.75 0 24.5333 -0.00542134 0 -0.0226588
-1.75 0 24.8 -0.0087719 0 -0.0325415
-1.75 0 25.0667 -0.0161677 0 -0.0467654
-1.75 0 25.3333 -0.0315406 0 -0.0666516
-1.75 0 25.6 -0.0628439 0 -0.0935152
-1.75 0 25.8667 -0.129417 0 -0.12542
-1.75 0 26.1333 -0.283916 0 -0.116448
-1.75 0 26.4 -0.226556 0 0.117056
-1.75 0.0315789 16 -0.0307522 0.000555818 0.00516496
-1.75 0.0315789 16.2667 -0.0310199 0.000560776 0.0107548
-1.75 0.0315789 16.5333 -0.02823 0.000510632 0.0151251
-1.75 0.0315789 16.8 -0.024014 0.000434817 0.017509
-1.75 0.0315789 17.0667 -0.0196842 0.000356992 0.018189
-1.75 0.0315789 17.3333 -0.0158767 0.000288615 0.017768
-1.75 0.0315789 17.6 -0.0127626 0.000232771 0.0167568
-1.75 0.0315789 17.8667 -0.0103005 0.000188718 0.0154873
-1.75 0.0315789 18.1333 -0.00838166 0.0001545 0.0141486
-1.75 0.0315789 18.4 -0.0068918 0.000128072 0.0128382
-1.75 0.0315789 18.6667 -0.00573309 0.000107688 0.0116
-1.75 0.0315789 18.9333 -0.00482809 9.1978e-05 0.0104487
-1.75 0.0315789 19.2 -0.00411821 7.99252e-05 0.00938292
-1.75 0.0315789 19.4667 -0.00356064 7.08177e-05 0.00839344
-1.75 0.0315789 19.7333 -0.00312598 6.4221e-05 0.00746693
-1.75 0.0315789 20 -0.0027972 5.99804e-05 0.00658897
-1.75 0.0315789 20.2667 -0.00256987 5.82406e-05 0.00574854
-1.75 0.0315789 20.5333 -0.00244936 5.93414e-05 0.00494845
-1.75 0.0315789 20.8 -0.00242859 6.30917e-05 0.00422146
-1.75 0.0315789 21.0667 -0.00243301 6.71333e-05 0.00361055
-1.75 0.0315789 21.3333 -0.00233301 6.74809e-05 0.00306583
-1.75 0.0315789 21.6 -0.00211705 6.38854e-05 0.00243006
-1.75 0.0315789 21.8667 -0.00192075 6.0703e-05 0.0016358
-1.75 0.0315789 22.1333 -0.00182439 6.07536e-05 0.000726092
-1.75 0.0315789 22.4 -0.00182759 6.44271e-05 -0.000272374
-1.75 0.0315789 22.6667 -0.00191288 7.15289e-05 -0.00137576
-1.75 0.0315789 22.9333 -0.00206911 8.20268e-05 -0.00262852
-1.75 0.0315789 23.2 -0.00228954 9.60281e-05 -0.00410042
-1.75 0.0315789 23.4667 -0.00256642 0.000113631 -0.00590227
-1.75 0.0315789 23.7333 -0.00289642 0.000135209 -0.00822256
-1.75 0.0315789 24 -0.00331762 0.000163121 -0.0113858
-1.75 0.0315789 24.2667 -0.00400861 0.000206428 -0.01592
-1.75 0.0315789 24.5333 -0.0054766 0.000290265 -0.0225994
-1.75 0.0315789 24.8 -0.00883976 0.000470563 -0.0324249
-1.75 0.0315789 25.0667 -0.016226 0.000855525 -0.0465634
-1.75 0.0315789 25.3333 -0.0315461 0.00164672 -0.0663376
-1.75 0.0315789 25.6 -0.0627262 0.00325476 -0.093061
-1.75 0.0315789 25.8667 -0.129031 0.00667713 -0.124759
-1.75 0.0315789 26.1333 -0.282596 0.0146116 -0.115412
-1.75 0.0315789 26.4 -0.225842 0.0116314 0.116493
-1.75 0.0631579 16 -0.0307043 0.00110991 0.00517195
-1.75 0.0631579 16.2667 -0.0309729 0.00111986 0.01075
-1.75 0.0631579 16.5333 -0.0281916 0.00101988 0.0151131
-1.75 0.0631579 16.8 -0.0239859 0.000868624 0.0174949
-1.75 0.0631579 17.0667 -0.0196648 0.000713285 0.0181758
-1.75 0.0631579 17.3333 -0.0158636 0.00057676 0.0177569
-1.75 0.0631579 17.6 -0.0127538 0.000465225 0.0167479
-1.75 0.0631579 17.8667 -0.0102946 0.000377221 0.0154804
-1.75 0.0631579 18.1333 -0.00837758 0.000308852 0.0141433
-1.75 0.0631579 18.4 -0.00688897 0.00025604 0.0128341
-1.75 0.0631579 18.6667 -0.00573108 0.000215302 0.0115969
-1.75 0.0631579 18.9333 -0.00482665 0.000183902 0.0104462
-1.75 0.0631579 19.2 -0.00411715 0.00015981 0.00938105
-1.75 0.0631579 19.4667 -0.00355983 0.000141602 0.00839205
-1.75 0.0631579 19.7333 -0.00312531 0.000128412 0.00746597
-1.75 0.0631579 20 -0.00279655 0.000119926 0.00658843
-1.75 0.0631579 20.2667 -0.00256905 0.000116431 0.00574847
-1.75 0.0631579 20.5333 -0.00244801 0.000118594 0.00494891
-1.75 0.0631579 20.8 -0.00242622 0.000126027 0.00422226
-1.75 0.0631579 21.0667 -0.00242954 0.00013404 0.00361104
-1.75 0.0631579 21.3333 -0.00232951 0.000134731 0.00306544
-1.75 0.0631579 21.6 -0.00211473 0.000127611 0.00242933
-1.75 0.0631579 21.8667 -0.00191955 0.000121316 0.00163548
-1.75 0.0631579 22.1333 -0.00182382 0.000121457 0.000726403
-1.75 0.0631579 22.4 -0.00182738 0.000128828 -0.000271487
-1.75 0.0631579 22.6667 -0.00191314 0.000143066 -0.00137437
-1.75 0.0631579 22.9333 -0.00207061 0.000164155 -0.00262665
-1.75 0.0631579 23.2 -0.00229433 0.000192416 -0.0040978
-1.75 0.0631579 23.4667 -0.00257907 0.000228259 -0.00589753
-1.75 0.0631579 23.7333 -0.00292559 0.000272795 -0.00821102
-1.75 0.0631579 24 -0.00337689 0.000331191 -0.011355
-1.75 0.0631579 24.2667 -0.00411368 0.000421803 -0.0158428
-1.75 0.0631579 24.5333 -0.0056354 0.000594215 -0.0224272
-1.75 0.0631579 24.8 -0.0090344 0.000957846 -0.0320871
-1.75 0.0631579 25.0667 -0.0163921 0.00172453 -0.0459781
-1.75 0.0631579 25.3333 -0.0315587 0.0032912 -0.0654268
-1.75 0.0631579 25.6 -0.0623787 0.00647052 -0.0917394
-1.75 0.0631579 25.8667 -0.127895 0.0132343 -0.122827
-1.75 0.0631579 26.1333 -0.278698 0.0288183 -0.112387
-1.75 0.0631579 26.4 -0.223717 0.0230442 0.114825
-1.75 0.0947368 16 -0.0306248 0.00166057 0.00518357
-1.75 0.0947368 16.2667 -0.0308949 0.00167557 0.0107421
-1.75 0.0947368 16.5333 -0.0281278 0.00152637 0.015093
-1.75 0.0947368 16.8 -0.0239392 0.00130041 0.0174714
-1.75 0.0947368 17.0667 -0.0196326 0.00106819 0.0181539
-1.75 0.0947368 17.3333 -0.0158419 0.000863964 0.0177386
-1.75 0.0947368 17.6 -0.0127392 0.000697047 0.0167333
-1.75 0.0947368 17.8667 -0.0102847 0.000565295 0.0154689
-1.75 0.0947368 18.1333 -0.00837079 0.000462909 0.0141344
-1.75 0.0947368 18.4 -0.00688424 0.000383803 0.0128272
-1.75 0.0947368 18.6667 -0.00572774 0.000322769 0.0115916
-1.75 0.0947368 18.9333 -0.00482424 0.000275719 0.0104422
-1.75 0.0947368 19.2 -0.00411537 0.000239613 0.00937795
-1.75 0.0947368 19.4667 -0.00355847 0.000212321 0.00838975
-1.75 0.0947368 19.7333 -0.00312419 0.000192542 0.00746436
-1.75 0.0947368 20 -0.00279547 0.000179803 0.00658753
-1.75 0.0947368 20.2667 -0.00256769 0.00017452 0.00574835
-1.75 0.0947368 20.5333 -0.00244579 0.000177671 0.00494965
-1.75 0.0947368 20.8 -0.00242232 0.000188652 0.00422359
-1.75 0.0947368 21.0667 -0.00242383 0.000200497 0.00361185
-1.75 0.0947368 21.3333 -0.00232374 0.000201524 0.00306482
-1.75 0.0947368 21.6 -0.00211088 0.000191019 0.00242812
-1.75 0.0947368 21.8667 -0.00191757 0.00018175 0.00163496
-1.75 0.0947368 22.1333 -0.00182287 0.000182061 0.000726928
-1.75 0.0947368 22.4 -0.00182699 0.000193175 -0.000269997
-1.75 0.0947368 22.6667 -0.00191351 0.000214612 -0.00137204
-1.75 0.0947368 22.9333 -0.00207291 0.000246463 -0.00262347
-1.75 0.0947368 23.2 -0.00230172 0.000289454 -0.00409334
-1.75 0.0947368 23.4667 -0.00259859 0.000344693 -0.00588958
-1.75 0.0947368 23.7333 -0.00297057 0.000414679 -0.00819225
-1.75 0.0947368 24 -0.00346806 0.000508196 -0.0113059
-1.75 0.0947368 24.2667 -0.00427486 0.000653271 -0.0157213
-1.75 0.0947368 24.5333 -0.00587829 0.000922683 -0.0221581
