#x y z Bx By Bz
-1.75 0.0631579 19.9 -0.0043843 9.49546e-05 0.00951789
-1.75 0.0631579 20.2 -0.00360885 7.21396e-05 0.00854381
-1.75 0.0631579 20.5 -0.00301633 5.58285e-05 0.00766293
-1.75 0.0631579 20.8 -0.00256388 4.46788e-05 0.0068622
-1.75 0.0631579 21.1 -0.002226 3.81013e-05 0.00612606
-1.75 0.0631579 21.4 -0.00199466 3.63335e-05 0.00544204
-1.75 0.0631579 21.7 -0.00187764 4.02922e-05 0.00481494
-1.75 0.0631579 22 -0.0018686 4.95897e-05 0.00429344
-1.75 0.0631579 22.3 -0.00186039 5.73331e-05 0.00394108
-1.75 0.0631579 22.6 -0.0016848 5.30623e-05 0.00367098
-1.75 0.0631579 22.9 -0.00139193 4.00039e-05 0.00329185
-1.75 0.0631579 23.2 -0.00115674 2.93385e-05 0.00280354
-1.75 0.0631579 23.5 -0.00101892 2.42118e-05 0.00229378
-1.75 0.0631579 23.8 -0.000941214 2.27185e-05 0.00180127
-1.75 0.0631579 24.1 -0.000870949 2.15194e-05 0.0013147
-1.75 0.0631579 24.4 -0.000779118 1.90242e-05 0.00074849
-1.75 0.0631579 24.7 -0.000810615 2.77117e-05 -3.51506e-05
-1.75 0.0631579 25 -0.00139086 8.29753e-05 -0.000869467
-1.75 0.0631579 25.3 -0.00254521 0.000184335 -0.00077361
-1.75 0.0631579 25.6 -0.00239824 0.000160062 0.00109499
-1.75 0.0631579 25.9 0.001886 -0.000251181 0.00208383
-1.75 0.0631579 26.2 0.00741443 -0.000768957 -0.00383374
-1.75 0.0631579 26.5 0.0039089 -0.000393053 -0.0151755
-1.75 0.0631579 26.8 -0.0111978 0.00113255 -0.0185963
-1.75 0.0631579 27.1 -0.0240147 0.00240519 -0.00348484
-1.75 0.0631579 27.4 -0.0105583 0.000949047 0.0340993
-1.75 0.0631579 27.7 0.0298394 -0.00322825 -0.0351385
-1.75 0.0947368 16 -0.00914077 0.00031446 -0.00178665
-1.75 0.0947368 16.3 -0.0141385 0.000599534 -0.00344479
-1.75 0.0947368 16.6 -0.0198682 0.000922772 -0.00299181
-1.75 0.0947368 16.9 -0.0248645 0.00120508 0.000106292
-1.75 0.0947368 17.2 -0.0271664 0.00134052 0.00522487
-1.75 0.0947368 17.5 -0.025917 0.00128294 0.0103465
-1.75 0.0947368 17.8 -0.0222519 0.00109392 0.0137041
-1.75 0.0947368 18.1 -0.0179428 0.000869399 0.0150215
-1.75 0.0947368 18.4 -0.0140645 0.000667561 0.0149254
-1.75 0.0947368 18.7 -0.0109459 0.000506223 0.0140885
-1.75 0.0947368 19 -0.0085552 0.000383718 0.0129504
-1.75 0.0947368 19.3 -0.00675438 0.000292656 0.011746
-1.75 0.0947368 19.6 -0.0054019 0.000225465 0.010586
-1.75 0.0947368 19.9 -0.00438189 0.000175979 0.00951425
-1.75 0.0947368 20.2 -0.00360718 0.000139611 0.00854116
-1.75 0.0947368 20.5 -0.00301513 0.000113157 0.00766105
-1.75 0.0947368 20.8 -0.00256296 9.45877e-05 0.00686094
-1.75 0.0947368 21.1 -0.00222515 8.30026e-05 0.00612541
-1.75 0.0947368 21.4 -0.00199357 7.87319e-05 0.00544208
-1.75 0.0947368 21.7 -0.00187564 8.31071e-05 0.00481579
-1.75 0.0947368 22 -0.00186471 9.55078e-05 0.00429473
-1.75 0.0947368 22.3 -0.00185463 0.000105687 0.0039414
-1.75 0.0947368 22.6 -0.00167972 9.81714e-05 0.00366952
-1.75 0.0947368 22.9 -0.00138922 7.77179e-05 0.00329008
-1.75 0.0947368 23.2 -0.00115559 6.08605e-05 0.00280246
-1.75 0.0947368 23.5 -0.00101831 5.22901e-05 0.00229318
-1.75 0.0947368 23.8 -0.000941091 4.92382e-05 0.00180035
-1.75 0.0947368 24.1 -0.000873449 4.69263e-05 0.00131321
-1.75 0.0947368 24.4 -0.000787982 4.31052e-05 0.00075158
-1.75 0.0947368 24.7 -0.000817943 5.49955e-05 -1.19537e-05
-1.75 0.0947368 25 -0.00135161 0.00013103 -0.000822978
-1.75 0.0947368 25.3 -0.00240641 0.00026977 -0.00078387
-1.75 0.0947368 25.6 -0.0022741 0.000236627 0.000860693
-1.75 0.0947368 25.9 0.00159055 -0.000320067 0.00168177
-1.75 0.0947368 26.2 0.00656191 -0.00101857 -0.00376652
-1.75 0.0947368 26.5 0.00338576 -0.000508058 -0.0141479
-1.75 0.0947368 26.8 -0.0102864 0.00156175 -0.0172963
-1.75 0.0947368 27.1 -0.0217827 0.00327023 -0.00351056
-1.75 0.0947368 27.4 -0.00884441 0.001169 0.0314644
