#x y z Bx By Bz
0.0421053 0 -0.030303 0.00314038 0.0174424 19.8104
0.0421053 0 0.166667 0.0209143 0.0192976 19.6944
0.0421053 0 0.363636 0.039372 0.0212565 19.4103
0.0421053 0 0.560606 0.0587485 0.0232769 18.947
0.0421053 0 0.757576 0.0760772 0.0252932 18.3084
0.0421053 0 0.954545 0.0889528 0.0272106 17.5271
0.0421053 0 1.15152 0.0986128 0.0288999 16.642
0.0421053 0 1.34848 0.107562 0.030195 15.6704
0.0421053 0 1.54545 0.116013 0.030896 14.6158
0.0421053 0 1.74242 0.122836 0.0307799 13.4888
0.0421053 0 1.93939 0.129221 0.0296236 12.3021
0.0421053 0 2.13636 0.138495 0.0272392 11.0445
0.0421053 0 2.33333 0.149779 0.0235178 9.68702
0.0421053 0 2.5303 0.15281 0.0184749 8.25142
0.0421053 0 2.72727 0.133644 0.0122813 6.88445
0.0421053 0 2.92424 0.0915546 0.00526667 5.81381
0.0421053 0 3.12121 0.0417308 -0.00211397 5.1914
0.0421053 0 3.31818 0.00322739 -0.00934667 5.00009
0.0421053 0 3.51515 -0.0086651 -0.0159415 5.05516
0.0421053 0 3.71212 0.00383219 -0.0215089 5.09577
0.0421053 0 3.90909 0.0142035 -0.025808 5.00413
0.0421053 0 4.10606 0.00123541 -0.0287593 4.92112
0.0421053 0 4.30303 -0.0201709 -0.0304232 5.02604
0.0421053 0 4.5 -0.0179175 -0.0309596 5.23992
0.0421053 0 4.69697 0.00819628 -0.0305814 5.30203
0.0421053 0 4.89394 0.0297512 -0.029515 5.11858
0.0421053 0 5.09091 0.0343975 -0.0279725 4.81289
0.0421053 0 5.28788 0.0294734 -0.026135 4.51607
0.0421053 0 5.48485 0.0224747 -0.0241477 4.278
0.0421053 0 5.68182 0.0159316 -0.0221194 4.10377
0.0421053 0 5.87879 0.0115774 -0.0201277 3.98143
0.0421053 0 6.07576 0.0101617 -0.0182241 3.88502
0.0421053 0 6.27273 0.0102809 -0.0164399 3.79266
0.0421053 0 6.4697 0.010572 -0.0147918 3.6975
0.0421053 0 6.66667 0.0119975 -0.0132858 3.59594
0.0421053 0 6.86364 0.0167237 -0.0119206 3.46631
0.0421053 0 7.06061 0.0241614 -0.0106907 3.27755
0.0421053 0 7.25758 0.0302142 -0.00958749 3.02072
0.0421053 0 7.45455 0.0296625 -0.0086011 2.73522
0.0421053 0 7.65152 0.0233795 -0.00772114 2.48542
0.0421053 0 7.84848 0.0164449 -0.00693725 2.30087
0.0421053 0 8.04545 0.0110264 -0.00623953 2.17426
0.0421053 0 8.24242 0.00683181 -0.00561872 2.09225
0.0421053 0 8.43939 0.00407148 -0.00506631 2.04316
0.0421053 0 8.63636 0.00274261 -0.00457457 2.01256
0.0421053 0 8.83333 0.00175087 -0.00413656 1.99169
0.0421053 0 9.0303 2.21524e-05 -0.00374608 1.98294
0.0421053 0 9.22727 -0.00231145 -0.00339763 1.99389
0.0421053 0 9.42424 -0.00447719 -0.00308632 2.0262
0.0421053 0 9.62121 -0.00595286 -0.00280787 2.07647
0.0421053 0 9.81818 -0.00378251 -0.00255847 2.12757
0.0421053 0 10.0152 0.00708529 -0.00233479 2.12053
0.0421053 0 10.2121 0.0228037 -0.0021339 1.97878
0.0421053 0 10.4091 0.0265653 -0.00195321 1.73176
0.0421053 0 10.6061 0.0125006 -0.00179046 1.53884
0.0421053 0 10.803 -0.0041777 -0.00164365 1.50568
0.0421053 0 11 -0.0103615 -0.00151102 1.58351
0.0421053 0 11.197 -0.00877668 -0.00139104 1.67628
0.0421053 0 11.3939 -0.00588752 -0.00128233 1.74496
0.0421053 0 11.5909 -0.00331512 -0.00118371 1.78783
0.0421053 0 11.7879 -0.001391 -0.00109409 1.80929
0.0421053 0 11.9848 -0.000582235 -0.00101256 1.81765
0.0421053 0 12.1818 -0.000705013 -0.000938266 1.82355
0.0421053 0 12.3788 -0.000562569 -0.000870485 1.83025
0.0421053 0 12.5758 7.22212e-05 -0.000808561 1.83286
0.0421053 0 12.7727 0.000417669 -0.000751912 1.83017
0.0421053 0 12.9697 1.42904e-05 -0.000700023 1.82788
0.0421053 0 13.1667 -0.00029023 -0.000652434 1.82994
0.0421053 0 13.3636 0.000108484 -0.000608734 1.83141
0.0421053 0 13.5606 0.000554222 -0.000568556 1.82816
0.0421053 0 13.7576 0.000312594 -0.000531573 1.82366
0.0421053 0 13.9545 -0.000177867 -0.000497491 1.82355
0.0421053 0 14.1515 2.16928e-05 -0.000466047 1.82508
0.0421053 0 14.3485 0.000556375 -0.000437004 1.82248
0.0421053 0 14.5455 0.000574795 -0.000410149 1.8167
0.0421053 0 14.7424 5.5766e-05 -0.000385291 1.8139
0.0421053 0 14.9394 5.07115e-05 -0.000362258 1.81427
0.0421053 0 15.1364 0.000630558 -0.000340894 1.8114
0.0421053 0 15.3333 0.000964454 -0.000321058 1.80351
0.0421053 0 15.5303 0.000642414 -0.000302623 1.79571
0.0421053 0 15.7273 0.00057741 -0.000285473 1.79068
0.0421053 0 15.9242 0.00133735 -0.000269505 1.78208
0.0421053 0 16.1212 0.00229482 -0.000254622 1.76454
0.0421053 0 16.3182 0.00284758 -0.00024074 1.73941
0.0421053 0 16.5152 0.00358646 -0.000227779 1.70855
0.0421053 0 16.7121 0.00513393 -0.000215668 1.66525
0.0421053 0 16.9091 0.00538491 -0.000204342 1.60741
0.0421053 0 17.1061 0.000107915 -0.000193741 1.56313
0.0421053 0 17.303 -0.00750999 -0.000183811 1.56895
0.0421053 0 17.5 -0.0119119 -0.000174503 1.58284
0.0842105 0 -2 -0.395997 0.00596191 6.80889
0.0842105 0 -1.80303 -0.478189 0.00662513 8.86692
0.0842105 0 -1.60606 -0.511505 0.00737038 11.2149
0.0842105 0 -1.40909 -0.472338 0.00820729 13.5497
0.0842105 0 -1.21212 -0.382646 0.00914604 15.5632
0.0842105 0 -1.01515 -0.283494 0.010197 17.1167
0.0842105 0 -0.818182 -0.19959 0.0113705 18.2355
0.0842105 0 -0.621212 -0.133944 0.0126755 19.0066
0.0842105 0 -0.424242 -0.0797828 0.0141192 19.5005
0.0842105 0 -0.227273 -0.0331994 0.015705 19.7591
0.0842105 0 -0.030303 0.00635325 0.0174302 19.8163
0.0842105 0 0.166667 0.0417922 0.0192832 19.7001
0.0842105 0 0.363636 0.0786974 0.0212395 19.4164
0.0842105 0 0.560606 0.117565 0.023257 18.9531
0.0842105 0 0.757576 0.152318 0.0252701 18.3133
0.0842105 0 0.954545 0.178017 0.0271841 17.5306
0.0842105 0 1.15152 0.197237 0.0288698 16.6449
0.0842105 0 1.34848 0.215133 0.0301616 15.6733
0.0842105 0 1.54545 0.232088 0.0308597 14.6183
0.0842105 0 1.74242 0.245694 0.0307416 13.4907
0.0842105 0 1.93939 0.258327 0.0295849 12.3045
0.0842105 0 2.13636 0.276886 0.0272019 11.0481
0.0842105 0 2.33333 0.299819 0.0234843 9.69016
0.0842105 0 2.5303 0.306425 0.0184478 8.24944
0.0842105 0 2.72727 0.268125 0.0122629 6.8741
0.0842105 0 2.92424 0.183375 0.00525868 5.798
0.0842105 0 3.12121 0.0830623 -0.00211076 5.1762
0.0842105 0 3.31818 0.00548502 -0.00933259 4.99142
0.0842105 0 3.51515 -0.0182674 -0.0159179 5.05618
0.0842105 0 3.71212 0.00774466 -0.0214779 5.10129
0.0842105 0 3.90909 0.029333 -0.0257721 5.00403
0.0842105 0 4.10606 0.0028233 -0.0287209 4.91374
